,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,sum
2019-03-12,575.1871397,531.9081601,466.7499746,383.4042345,269.2417234,139.4676046,115.6457615,86.94304777,27.2730537,43.77844808,67.0389226,213.9922294,320.1736189,424.8800861,422.9238402,416.91487,397.7444293,302.6227422,362.0914358,502.0722507,583.5026102,589.7394475,581.8226319,621.2109868,8446.329249
2019-03-13,579.4726971,553.7862191,578.3792319,558.4880345,505.4867387,415.4469199,249.5511334,175.0145644,179.2715003,250.7620259,297.7753804,364.0226704,296.7664026,282.7710272,337.7976017,386.1718314,417.1932226,401.4854587,388.8473543,345.1880342,324.3495716,318.3634006,318.6150836,325.0563293,8850.062434
2019-03-14,272.3004434,224.9008626,150.9189562,102.1920392,63.56143286,82.82147219,64.885513,57.00121956,45.93859393,23.8384901,24.14145759,25.72035289,9.736454413,2.603469875,3.12416385,11.99421525,26.91474977,27.92953471,29.53289957,33.56655599,42.12159879,46.61367677,52.41658937,46.79756771,1471.57231
2019-03-15,62.88766035,50.00732057,53.65914463,125.0727906,89.29754601,123.8375828,222.2363156,72.03578904,36.31568424,120.7694817,239.013045,269.1981436,215.9907206,310.2512944,346.7448869,358.7449426,458.2818099,628.5945256,646.1512277,643.1046971,687.8904646,719.1029581,698.0291568,674.6575494,7851.874738
2019-03-16,661.5641888,655.4881255,640.0805843,574.4306077,455.7995894,375.7671151,287.0602492,227.9721563,169.2566327,130.8175433,39.35900713,14.1034943,22.84882838,21.51530661,48.42651274,64.75568751,70.27235218,49.31313053,35.21308303,50.29333549,97.66764174,182.5264278,255.4931558,250.9629784,5380.987734
2019-03-17,280.3593526,262.0556145,276.9361613,291.7474664,297.7258421,246.8056154,177.0509462,106.1331918,59.91630268,103.0622915,125.3577917,161.1473984,145.4970377,125.2252033,153.5118224,225.1814244,257.0193807,198.376134,170.3195034,185.1999201,148.0220815,63.68361123,46.00061518,28.67755416,4135.012263
2019-03-18,26.18551977,24.5732368,19.74431947,13.55945649,9.057249939,8.906507605,27.96033501,34.99754446,9.354422323,9.431686356,29.75316803,42.14979054,48.97797978,34.70345574,39.98872171,19.44678395,11.20606885,39.16951476,53.96468738,99.07993457,71.82474432,72.06780586,86.40249913,20.65963741,853.1650703
2019-03-19,11.75546297,11.26605651,22.6908868,70.8913965,146.9123295,212.8165161,261.6445676,295.2967004,286.0299219,348.9126012,380.9345423,294.7490736,216.9376468,277.1943688,323.515246,267.7229852,212.6935751,153.195679,116.8568537,96.04455234,74.50762075,44.64030882,10.13037328,10.63777028,4147.977035
2019-03-20,3.910470339,2.004210617,10.45531072,63.71012951,157.4660572,222.2432637,239.6700677,291.8465037,357.6324368,421.3564352,423.9245232,476.5756706,506.8630928,211.1278134,223.9621706,494.7612974,580.6228605,626.1108919,500.8418455,473.7544924,615.7144037,592.8969809,597.2310295,548.448885,8643.130843
2019-03-21,460.6068,348.4885538,121.6808747,204.0149014,454.1009518,511.1759099,527.0299708,493.9523703,507.3960337,524.306347,605.8718187,565.5501009,526.3232131,615.8307356,692.8892042,687.8093573,715.4303322,707.7490127,629.5975025,644.332521,604.388647,603.3405804,614.2379017,645.9224527,13012.02609
2019-03-22,628.1734258,684.9942708,682.4192408,689.3753037,680.4342524,697.3131693,702.9816748,656.6548602,644.3801286,636.3135148,519.9721319,412.1725463,377.1804036,312.3338494,320.6980623,373.7618484,502.6505295,603.823305,674.5477934,599.4497498,556.9233017,586.7131983,570.0118839,588.5065064,13701.78495
2019-03-23,582.7336678,654.2935138,637.7115968,554.7173245,542.5499037,526.2060369,593.9785866,597.2971724,530.4814779,486.4103815,372.2381292,258.7152494,202.3639713,237.3443029,314.0110618,502.7855479,591.5743563,597.2497585,646.2849539,652.9353742,698.0952785,691.7322168,614.9474677,503.4794142,12590.13674
2019-03-24,439.5152503,441.1929589,319.2262539,265.5941359,273.4497837,281.0065039,246.9129474,112.6586012,137.6488495,110.1705099,119.1205004,106.0585575,96.68800873,99.49384731,81.96105796,78.86911066,118.5588957,120.515532,110.5874911,53.24852436,45.06321532,77.87477654,50.49308958,41.12559423,3827.033996
2019-03-25,22.92521785,12.99819678,6.14497813,2.376168605,0.565602257,0,0,0,2.149747948,7.324398523,7.220746335,37.99157113,34.5845305,38.17876967,20.91627734,17.49057435,9.765914125,6.465818146,27.95187385,26.16897875,14.26618393,18.01049363,37.69944639,65.04024987,416.2357381
2019-03-26,97.94610335,138.0166616,210.1903469,256.0937435,303.9652456,382.898166,398.0889339,400.9067289,311.5667984,311.6778617,344.6812303,346.5313244,327.3294359,234.0935334,145.8745034,96.82454625,78.85293278,56.77566136,46.89370593,36.30750149,24.53054367,53.54382052,40.09770903,21.97088963,4665.657928
2019-03-27,30.7630294,31.0819357,27.57210836,83.64628662,86.06313899,50.50410785,66.45943328,80.07165397,73.10630685,144.5063532,272.0752604,343.7170489,301.4046535,305.4232819,334.6090532,382.6319997,370.6991036,332.1970034,312.8800752,301.9821304,227.6834663,139.5665905,57.15230083,10.65680486,4366.453127
2019-03-28,5.090626091,46.87080997,121.9189612,233.3979059,136.8658899,81.70512009,44.86953171,38.38600445,65.19792212,63.46731612,53.93088815,29.80947285,26.6470371,30.8812556,21.71589593,16.28133413,6.682343245,4.045637005,3.104862973,4.455252584,6.603042603,15.2477325,21.56064461,4.455313107,1083.1908
2019-03-29,14.77311794,7.50587761,12.36066562,8.372262465,1.285224184,0.624200907,10.3447619,2.890477373,0.363160928,3.855254941,67.86698411,11.32496383,9.636651506,32.68026805,47.15148673,19.95204448,12.97212637,11.21052639,6.147701678,3.968814792,1.002171884,1.364848625,4.359525921,10.67860232,302.6917206
